conti_path,emotions,time
/content/continuous_speeches/combined_speech_Ses01F_script02_2.wav,"['neu', 'exc', 'fru', 'neu', 'sur', 'hap', 'neu', 'neu', 'sur', 'ang', 'fru', 'sad', 'fru', 'neu', 'sad', 'neu', 'ang', 'hap', 'exc', 'fru', 'fru', 'hap', 'fru', 'fru', 'hap', 'fru', 'neu', 'hap', 'fru', 'neu', 'neu', 'fru', 'neu', 'ang', 'fru', 'hap', 'neu', 'fru', 'ang', 'sur', 'sad', 'neu', 'sad', 'neu', 'fru', 'fru', 'ang', 'neu', 'fru', 'neu', 'fru', 'sad', 'neu', 'fru', 'fru', 'hap', 'neu', 'hap', 'neu', 'hap', 'neu']","[2.3244375, 4.764375, 7.424375, 10.3843125, 13.83425, 15.6641875, 17.5366875, 21.77125, 29.150125, 35.144625, 37.1781875, 40.0701875, 43.453250000000004, 44.855562500000005, 51.230500000000006, 53.072250000000004, 57.27225000000001, 59.4073125, 62.50475, 77.20475, 78.64225, 80.5324375, 93.3374375, 98.86237499999999, 103.45537499999999, 105.65987499999999, 108.60568749999999, 112.59606249999999, 116.12856249999999, 121.21581249999998, 128.10574999999997, 130.38574999999997, 135.87824999999998, 139.04824999999997, 141.76824999999997, 147.99824999999996, 150.42137499999995, 152.71131249999996, 156.32181249999996, 157.99862499999998, 167.98812499999997, 183.62312499999996, 185.79312499999995, 192.57306249999993, 194.96299999999994, 197.60587499999994, 203.89581249999995, 210.84574999999995, 220.38574999999994, 226.00124999999994, 230.33643749999993, 233.96081249999992, 244.51581249999992, 250.22574999999992, 253.32481249999992, 257.1597499999999, 260.18468749999994, 262.67018749999994, 269.67018749999994, 285.94124999999997, 291.30356249999994]"
/content/continuous_speeches/combined_speech_Ses01F_script03_1.wav,"['hap', 'hap', 'exc', 'hap', 'fea', 'hap', 'fea', 'hap', 'hap', 'fea', 'hap', 'exc', 'fea', 'hap', 'exc', 'exc', 'hap', 'hap', 'fea', 'hap', 'hap', 'hap', 'hap', 'hap', 'hap', 'fea', 'exc', 'hap', 'dis', 'hap', 'fea']","[10.198, 22.407937500000003, 27.477937500000003, 32.530437500000005, 38.990437500000006, 43.26043750000001, 45.15037500000001, 61.78031250000001, 68.25025000000001, 70.14143750000001, 79.30137500000001, 83.2938125, 85.4638125, 87.5138125, 90.04775, 102.63268749999999, 110.21262499999999, 115.4768125, 120.98675, 124.9541875, 131.2291875, 136.411625, 144.47156249999998, 151.65156249999998, 156.23149999999998, 159.02149999999997, 160.54143749999997, 163.07137499999996, 165.67137499999995, 168.11906249999996, 169.56149999999997]"
/content/continuous_speeches/combined_speech_Ses01F_impro01.wav,"['fru', 'fru', 'ang', 'neu', 'ang', 'fru', 'fru', 'fru', 'fru', 'ang', 'fru', 'fru', 'fru', 'neu', 'fru', 'neu', 'fru', 'fru']","[2.74, 7.1499375, 9.8999375, 13.929875, 19.959812499999998, 29.7698125, 35.5198125, 39.95975, 43.3115625, 50.551500000000004, 55.176500000000004, 58.05875, 65.54875, 70.61875, 74.35706250000001, 75.7395, 78.55612500000001, 83.11612500000001]"
/content/continuous_speeches/combined_speech_Ses01M_impro04.wav,"['neu', 'neu', 'neu', 'fru', 'fru', 'fru', 'neu', 'neu', 'neu', 'neu', 'fru', 'fru', 'fru', 'neu', 'neu', 'fru', 'neu', 'neu', 'fru', 'fru', 'neu', 'neu', 'neu', 'neu', 'neu', 'fru', 'neu', 'neu', 'neu', 'ang', 'fru']","[2.28, 14.434999999999999, 17.735, 23.275, 24.8375, 26.547437499999997, 29.787374999999997, 33.1073125, 34.9613125, 38.1778125, 40.36775, 47.86775, 52.00775, 59.8476875, 66.437625, 68.5711875, 71.3211875, 74.15962499999999, 77.72462499999999, 83.43456249999998, 90.08449999999999, 98.1295, 99.61949999999999, 103.59949999999999, 108.61943749999999, 117.59418749999999, 119.3841875, 121.76418749999999, 124.714125, 131.017125, 132.804625]"
/content/continuous_speeches/combined_speech_Ses01F_impro02.wav,"['sad', 'sad', 'sad', 'neu', 'fru', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'sad', 'neu', 'sad', 'fru', 'sad', 'sad', 'neu', 'neu', 'sad', 'sad', 'sad', 'sad']","[7.4, 10.6199375, 14.839375, 19.054375, 21.689, 27.4589375, 30.4894375, 36.285250000000005, 42.008750000000006, 44.56875000000001, 48.24125000000001, 52.85625000000001, 55.91562500000001, 58.84562500000001, 63.375562500000015, 68.05562500000002, 74.71056250000002, 79.12587500000002, 83.01268750000003, 86.60056250000002, 88.79050000000002, 94.44300000000003, 99.39293750000003, 108.72412500000003, 114.84956250000003, 119.09956250000003]"
/content/continuous_speeches/combined_speech_Ses01F_script01_3.wav,"['neu', 'sad', 'sad', 'sad', 'sur', 'hap', 'sad', 'sad', 'sad', 'hap', 'hap', 'hap', 'neu', 'sad', 'neu', 'neu', 'neu', 'hap', 'hap', 'neu', 'neu', 'sad', 'neu', 'hap', 'neu', 'neu', 'hap', 'hap', 'hap', 'neu', 'hap', 'neu', 'neu', 'hap', 'neu', 'sad', 'sad', 'hap', 'neu', 'hap', 'sad', 'hap', 'neu', 'hap', 'sad']","[2.80475, 6.016375, 8.243875, 29.093875, 32.3305, 35.1029375, 45.7829375, 56.845312500000006, 60.40531250000001, 62.285250000000005, 67.4326875, 70.202625, 79.163375, 94.37825000000001, 97.98268750000001, 102.0785, 104.60843750000001, 106.77843750000001, 114.24943750000001, 122.07387500000002, 126.65381250000002, 139.97375000000002, 141.53375000000003, 143.83375000000004, 148.75118750000004, 154.12118750000005, 155.52381250000005, 163.03375000000005, 166.52375000000006, 168.82375000000008, 174.46125000000006, 179.34431250000006, 182.62431250000006, 191.07256250000006, 200.35256250000006, 208.58256250000005, 226.68087500000004, 228.74337500000004, 231.73200000000006, 233.53200000000007, 236.35193750000008, 239.1068750000001, 246.16681250000008, 257.4239375000001, 264.9991250000001]"
/content/continuous_speeches/combined_speech_Ses01F_script03_2.wav,"['hap', 'fru', 'ang', 'ang', 'neu', 'neu', 'ang', 'ang', 'ang', 'ang', 'ang', 'ang', 'hap', 'hap', 'neu', 'ang', 'neu', 'ang', 'neu', 'ang', 'ang', 'ang', 'ang', 'neu', 'ang', 'neu', 'ang', 'ang', 'ang', 'ang', 'neu', 'ang', 'fru', 'ang', 'neu', 'ang', 'ang', 'ang', 'ang', 'ang', 'neu', 'fru', 'ang', 'ang', 'ang', 'ang', 'ang', 'ang']","[4.07, 7.300000000000001, 9.290000000000001, 11.919937500000001, 15.572375000000001, 18.2623125, 27.2348125, 32.3124375, 34.5624375, 38.4999375, 40.8424375, 46.267375, 51.517375, 55.3373125, 57.904125, 59.7440625, 64.00375, 67.72375, 71.2601875, 80.090125, 81.8600625, 89.1400625, 92.02, 93.4074375, 95.58743750000001, 101.23737500000001, 102.73231250000002, 107.08225000000002, 123.08225000000002, 126.03156250000002, 127.40156250000003, 129.87150000000003, 134.83143750000002, 139.32143750000003, 143.70137500000004, 145.94131250000004, 150.20881250000005, 155.26481250000006, 160.01362500000005, 163.19112500000006, 166.54106250000007, 173.49100000000007, 175.81675000000007, 177.88418750000008, 179.86100000000008, 198.29100000000008, 207.43037500000008, 213.1011875000001]"
/content/continuous_speeches/combined_speech_Ses01M_script01_2.wav,"['fru', 'ang', 'ang', 'ang', 'ang', 'fru', 'fru', 'fru', 'fru', 'ang', 'ang', 'ang', 'ang', 'fru', 'fru', 'fru', 'ang', 'fru']","[5.91, 10.5599375, 14.079875000000001, 18.619875, 32.234875, 37.874812500000004, 42.124812500000004, 45.82475, 48.3446875, 57.3346875, 67.6538125, 70.4975, 75.0799375, 76.1290625, 78.6290625, 82.4565, 90.8964375, 93.276375]"
/content/continuous_speeches/combined_speech_Ses01M_script01_3.wav,"['sad', 'sad', 'neu', 'hap', 'sad', 'neu', 'sad', 'sad', 'sad', 'hap', 'sad', 'sad', 'sad', 'sad', 'sad', 'hap', 'sad', 'sad', 'sad', 'sad', 'hap', 'sad', 'neu', 'exc', 'sad', 'sad', 'exc', 'sad', 'hap', 'sad', 'neu', 'sad', 'exc', 'sad', 'hap', 'sad', 'sad', 'sad', 'sad', 'neu', 'sad', 'hap', 'sad', 'sad', 'sad', 'sad', 'neu']","[2.985875, 17.235875, 20.887999999999998, 24.1565625, 36.4490625, 38.66, 49.15, 51.432249999999996, 56.88218749999999, 59.36718749999999, 62.84712499999999, 66.3554375, 80.2061875, 83.076125, 91.0823125, 94.25475, 118.1136875, 120.883625, 124.728625, 127.758375, 135.9945, 144.77443749999998, 148.14443749999998, 156.64443749999998, 159.47437499999998, 169.904375, 171.904375, 177.428, 184.1329375, 186.9829375, 191.622875, 198.005375, 202.865375, 207.4843125, 211.1755, 219.2046875, 222.416, 230.4759375, 239.9309375, 243.6634375, 247.613375, 250.473375, 254.3633125, 257.81325, 265.90774999999996, 279.3776875, 282.0356875]"
/content/continuous_speeches/combined_speech_Ses01F_script01_2.wav,"['fru', 'fru', 'ang', 'fru', 'ang', 'fru', 'neu', 'fru', 'fru', 'ang', 'ang', 'fru', 'ang', 'ang', 'ang', 'ang', 'ang', 'ang']","[4.2399375, 8.5099375, 12.0099375, 19.189875, 22.2198125, 24.4173125, 26.62725, 28.5671875, 30.517125, 44.657125, 48.407125, 51.1170625, 57.707, 66.8669375, 71.25687500000001, 73.20681250000001, 82.09675000000001, 92.30668750000001]"
